device_id,cpu_usage,memory_usage,temperature_c,uptime_hours,downtime_event
DEV0461,30,27,48,3049,1
DEV0358,64,78,75,8728,1
DEV0207,15,84,59,6216,0
DEV0455,90,31,47,334,1
DEV0286,78,23,48,8012,0
DEV0216,14,96,63,4870,0
DEV0456,12,60,56,5228,1
DEV0451,62,26,59,4956,0
DEV0463,32,88,76,8259,0
DEV0228,62,88,53,2574,0
DEV0361,46,49,60,326,0
DEV0043,83,92,74,6260,0
DEV0181,83,25,62,4901,1
DEV0462,92,38,43,5457,0
DEV0347,26,99,65,7648,0
DEV0286,94,85,48,4095,0
DEV0297,87,29,74,1510,0
DEV0044,82,35,51,4864,0
DEV0037,10,56,89,1437,0
DEV0373,60,98,74,5520,0
DEV0249,54,96,52,217,0
DEV0390,86,96,60,1968,0
DEV0083,13,51,67,2197,0
DEV0380,71,66,67,1913,0
DEV0421,74,91,64,9879,0
DEV0257,41,62,72,8834,0
DEV0217,43,55,58,2474,0
DEV0010,81,45,56,1626,0
DEV0238,48,29,56,7187,0
DEV0026,35,50,68,9561,0
DEV0251,43,48,63,8893,0
DEV0215,63,24,62,3714,0
DEV0145,12,96,67,2249,0
DEV0320,59,20,39,3401,0
DEV0222,21,22,63,8679,1
DEV0411,74,86,62,3780,0
DEV0459,63,90,76,9894,0
DEV0324,14,54,44,3382,0
DEV0018,66,34,75,2796,0
DEV0339,26,86,60,4251,0
DEV0228,56,49,64,1405,0
DEV0236,32,94,76,816,0
DEV0366,88,62,65,5945,0
DEV0434,94,79,64,5858,0
DEV0346,23,59,62,3755,0
DEV0449,75,84,55,6459,0
DEV0276,84,48,59,8605,0
DEV0121,60,93,52,2380,0
DEV0062,47,38,59,2722,0
DEV0331,73,22,36,9179,0
DEV0187,47,55,64,4442,0
DEV0025,59,62,58,2589,0
DEV0380,91,34,56,2022,0
DEV0339,39,60,62,6378,0
DEV0096,88,99,45,8215,0
DEV0321,60,55,79,8149,1
DEV0193,72,96,58,4129,1
DEV0254,61,52,58,3163,0
DEV0067,47,24,50,8452,0
DEV0314,97,97,60,9775,0
DEV0494,88,33,73,3992,1
DEV0040,39,87,70,1837,0
DEV0224,60,66,68,4320,0
DEV0431,90,73,65,7180,0
DEV0356,14,23,56,9662,0
DEV0427,38,28,45,3495,0
DEV0392,13,72,57,2554,1
DEV0222,19,96,57,5057,0
DEV0103,65,97,70,2387,0
DEV0318,26,79,63,9528,0
DEV0248,83,65,76,8250,0
DEV0162,26,73,71,6392,0
DEV0264,93,93,55,9498,0
DEV0025,97,56,42,8796,0
DEV0154,78,42,73,9695,0
DEV0219,43,46,73,3833,0
DEV0438,15,89,46,8992,1
DEV0254,62,85,75,5213,0
DEV0467,75,80,63,3105,0
DEV0215,86,96,61,4890,0
DEV0169,52,70,76,110,0
DEV0080,84,69,73,5321,0
DEV0072,32,38,66,3777,0
DEV0063,64,20,64,9264,0
DEV0478,89,59,66,7434,0
DEV0456,84,51,55,5264,0
DEV0075,25,41,59,9133,0
DEV0263,17,85,50,6960,1
DEV0469,13,59,56,8205,0
DEV0098,13,57,56,384,0
DEV0085,65,67,53,6643,1
DEV0325,34,74,61,5670,0
DEV0306,76,94,56,5831,0
DEV0427,76,74,65,7711,0
DEV0378,36,70,43,2535,1
DEV0273,41,79,58,7623,0
DEV0149,59,27,61,1129,0
DEV0006,70,87,56,6684,0
DEV0109,60,94,58,8191,0
DEV0199,28,91,44,4551,0
DEV0331,30,28,63,3066,0
DEV0338,14,21,66,7855,0
DEV0038,91,99,64,653,0
DEV0319,51,89,70,367,0
DEV0128,70,78,62,7235,1
DEV0140,31,38,64,1340,0
DEV0248,30,47,61,4259,0
